#,Name,Tackles,Errors leading to goal,Clean sheets,Blocked shots,Interceptions,Clearances,Dribbled past,Errors leading to shot,Blocked shots.1,Aerial duels won %,Aerial duels won,Fouls,PC1,PC2,Cluster
126,Matty Jacob,1.8,0.0,0.0,0.0,1.0,1.4,3,0,0,66.67,4,3,-1.4663953215589596,0.838234555173893,1
127,Ryan Giles,0.91,0.0,0.17,0.29,0.57,2.69,14,0,10,54.55,12,16,-1.0597740353319414,0.6221568443042012,1
128,Lewie Coyle,1.31,0.02,0.26,0.48,0.62,3.19,15,1,20,42.0,42,38,0.38246474880482323,1.3047428230222617,2
129,Jeremy Petris,1.12,0.0,0.0,0.12,0.59,1.24,4,0,2,48.15,13,10,-1.968145398319973,0.6058004203743845,1
130,Luke Thomas,1.72,0.05,0.14,0.3,1.23,4.28,24,2,13,49.65,71,51,2.496091423465632,2.306643495171582,2
131,Alex Bangura,0.46,0.0,0.0,0.0,0.23,0.85,0,0,0,38.46,5,4,-3.204013565480418,0.039420291091380316,1
132,Ruben Roosken,1.0,0.0,0.0,0.0,0.67,2.0,0,0,0,66.67,4,0,-2.157236635505727,-0.20124878001527885,1
133,Jamaal Lascelles,0.67,0.0,0.0,0.22,0.11,6.78,0,0,2,76.74,33,5,-1.3552411949205947,-1.749197144925988,1
134,Jake Bidwell,0.55,0.0,0.18,0.55,0.27,2.0,4,0,6,60.0,6,2,-2.099284685838344,-0.7989761673653236,1
135,Ben Johnson,1.0,0.0,0.12,0.06,0.53,1.65,3,0,1,66.67,16,10,-1.8054571460837663,0.16236231775039073,1
136,Sondre Langås,1.46,0.04,0.17,0.5,1.29,5.63,12,1,12,53.51,61,15,1.0484086232601164,0.0534771831159159,0
137,Ibane Bowat,0.71,0.0,0.06,0.18,1.06,3.59,2,0,3,63.51,47,10,-0.887321226720392,-0.6954163834355079,1
138,Wout Faes,0.4,0.0,0.07,0.13,0.53,4.13,3,0,2,33.33,10,6,-2.206373538126529,-0.5021844417724496,1
139,Shane Duffy,0.75,0.25,0.0,0.25,0.0,4.25,1,1,1,88.24,15,4,-0.7921471745852011,-1.3675253634828723,1
140,Ben Gibson,1.08,0.0,0.08,0.62,1.08,3.77,1,0,8,68.09,32,6,-0.5517375538452892,-1.0621432754668392,1
141,Jack Stacey,1.64,0.0,0.06,0.08,0.56,1.72,25,0,3,50.0,30,31,-0.2069034955444075,2.665033659660289,2
142,Ronnie Edwards,0.96,0.04,0.11,0.46,0.96,5.54,9,1,13,56.32,49,15,0.3557602660443754,-0.5003847683573723,0
143,Hidde ter Avest,1.38,0.0,0.0,0.08,0.62,2.15,4,0,1,62.5,10,11,-1.5319789246049773,0.5231020663268598,1
144,Amadou Salif Mbengue,1.61,0.02,0.2,0.54,0.73,2.85,30,1,22,58.88,63,53,1.984057722969654,2.5078638939256246,2
145,Odeluga Offiah,2.29,0.0,0.1,0.43,0.5,2.93,11,0,18,47.95,35,31,-0.09827190592025238,1.7493777678422218,2
146,Sam Long,1.28,0.03,0.15,0.53,0.93,4.35,20,1,21,51.95,80,25,1.172904862831002,0.7973181562469988,2
147,Welington,1.58,0.0,0.11,0.26,0.79,1.53,8,0,5,46.81,22,21,-0.9585981919032399,1.25539658966601,1
148,Brandon Williams,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,-3.993101820392099,1.1947652040041519,1
149,Torbjørn Heggem,0.0,0.0,1.0,0.0,2.0,12.0,1,0,0,33.33,1,0,-0.23981739477307065,-2.4577121396997472,0
150,Ricardo Santos,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0,1,-3.8503668715176698,0.9605709852143332,1
151,Yisa Alao,0.0,0.0,0.0,0.5,1.0,0.0,0,0,1,0.0,0,3,-3.022977442583387,-0.21181578822005429,1
152,Darragh Lenihan,0.5,0.0,0.0,0.0,0.5,5.5,0,0,0,87.5,7,1,-1.6034143486864498,-1.575839605273792,1
153,James Morris,0.5,0.0,0.0,0.0,0.0,1.5,0,0,0,0.0,0,0,-3.9815633675552893,0.4188249056122967,1
154,Tom Atcheson,1.36,0.0,0.21,0.57,0.93,4.79,8,0,8,67.24,39,14,0.07029237404655876,-0.3716088105886066,0
155,Kayne Ramsay,1.57,0.03,0.24,0.59,1.22,2.84,11,1,22,55.37,67,43,1.4302825977830762,1.0619358400764365,2
156,Lewis Brunt,0.89,0.0,0.0,1.11,0.89,4.56,5,0,10,67.74,21,5,-0.2309056332895997,-1.6433709024927745,0
157,Liam Cooper,0.71,0.07,0.0,1.14,1.36,5.21,7,1,16,64.94,50,10,1.1140955041378318,-1.7574410294716971,0
158,Ernie Weaver,1.33,0.0,0.17,1.5,0.33,5.67,2,0,9,38.46,10,3,-0.7522084341461136,-1.689875647209062,1
159,Charlie Taylor,0.77,0.04,0.08,0.38,0.5,3.81,4,1,10,53.97,34,10,-0.9369076633239475,-0.5769413302396589,1
160,Pol Valentín,2.15,0.06,0.09,0.27,0.79,2.09,20,2,9,25.71,9,25,0.24704860634591255,2.844224000243395,2
161,Kellen Fisher,2.14,0.09,0.16,0.3,1.05,2.49,18,4,13,51.28,40,50,2.3936309907635214,2.7517652794061984,2
162,Joe Emery,1.0,0.0,0.0,0.33,1.0,0.0,0,0,1,0.0,0,0,-2.8779503933933266,0.7613969790433555,1
163,Regan Poole,0.93,0.1,0.24,0.78,1.63,6.51,16,4,32,55.61,124,36,3.7567848150749446,-0.28008887571972313,0
164,Yan Valery,1.78,0.09,0.09,0.3,0.57,2.04,9,2,7,54.12,46,18,0.07632576332963416,1.1726593237204754,2
165,Rhys Norrington-Davies,1.82,0.03,0.13,0.33,0.64,2.28,19,1,13,58.96,79,36,0.9787396940479937,1.9440665622248778,2
166,Joshua Quarshie,0.92,0.15,0.08,0.38,0.85,3.69,3,2,5,58.97,23,11,-0.037547678429103545,-0.5179121743376208,0
167,Max Johnston,1.2,0.0,0.13,0.07,0.2,2.67,4,0,1,20.0,4,4,-2.732494725960095,0.7512654248527579,1
168,Benjamin Nelson,1.63,0.04,0.04,0.83,1.21,6.96,8,1,20,55.77,58,9,1.199168140527602,-0.8110808199623901,0
169,Josh Key,1.03,0.0,0.13,0.23,0.53,2.37,20,0,7,28.33,17,22,-1.0804774244855002,1.700054339530049,1
170,Jamie Shackleton,0.0,0.0,0.0,0.0,0.0,0.67,0,0,0,33.33,1,0,-3.8150008996051827,-0.3138667305500471,1
171,George Edmundson,0.43,0.0,0.0,0.29,0.86,3.43,1,0,2,60.0,9,2,-1.701576704339095,-1.0956613177401737,1
172,Collins Sichenje,2.0,0.0,0.0,1.17,0.17,4.33,4,0,7,57.89,11,9,-0.6017190987577224,-0.5279657119306244,1
173,Cody Drameh,1.87,0.0,0.09,0.22,0.61,2.52,14,0,5,48.48,16,4,-1.13822375722138,1.3743258792246327,1
174,Andrija Vukčević,0.66,0.0,0.0,0.24,0.21,1.55,8,0,7,37.78,17,25,-1.878594622432464,0.7198555801201677,1
175,Jordan Lee Williams,1.67,0.0,0.1,0.27,0.67,1.83,12,0,8,50.0,21,18,-0.8639163065305514,1.4102427544849552,1
176,Cameron Pring,1.28,0.08,0.12,0.52,1.0,3.44,16,2,13,48.0,24,25,0.8547628196730325,0.961404996531274,2
177,Joe Bryan,0.89,0.05,0.0,0.16,0.79,1.47,7,1,3,60.0,15,15,-0.9555886166833036,0.4619521119193975,1
178,Saba Goglichidze,1.75,0.08,0.0,0.25,0.75,3.67,4,1,3,36.11,13,7,-0.8695658970639079,0.6457273003705581,1
179,Hayden Matthews,0.92,0.0,0.0,0.31,0.77,4.77,1,0,4,52.83,28,5,-1.2527882055902746,-0.846874932235537,1
180,Formose Mendy,1.33,0.0,0.0,0.17,0.5,2.17,4,0,1,64.29,9,3,-1.780600190968085,0.19407912457031948,1
181,James Abankwah,1.32,0.1,0.13,0.48,0.84,5.06,11,3,15,67.68,67,40,2.094940619000179,0.3740944478926255,2
182,Alfie Gilchrist,0.77,0.0,0.0,0.31,0.92,2.46,1,0,4,64.71,11,5,-1.4960446821156095,-0.6519245978897886,1
183,Josh Knight,0.43,0.0,0.14,0.5,0.57,5.86,0,0,7,51.67,31,7,-1.2649259971755817,-1.6901905391749503,1
184,Danny Batth,0.4,0.1,0.0,0.8,1.1,6.1,0,1,8,67.27,37,9,0.3458974399240712,-2.2874583422347268,0
185,Connor Ogilvie,0.81,0.0,0.13,0.34,0.75,3.19,4,0,11,59.06,101,25,-0.22064620744146957,-0.35332075723723133,1
186,Archie Baptiste,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,-4.395970129550558,0.2825864475451372,1
187,Caleb Wiley,1.4,0.0,0.0,0.2,0.2,0.8,0,0,1,8.33,1,1,-3.2721792051554774,1.0003590837461744,1
188,Curtis Nelson,1.0,0.0,0.0,2.0,0.0,4.0,0,0,4,40.0,2,1,-1.1949589750655778,-2.3537459601231507,1
189,Dion Sanderson,0.92,0.03,0.26,0.68,1.16,4.97,6,1,26,55.13,86,42,1.4619369132001314,-0.37646763183694903,0
190,Dominic Iorfa,1.68,0.15,0.09,0.56,0.85,6.12,11,5,19,66.67,126,27,3.2416425087489955,0.04951144027563884,0
