#,Name,Tackles,Errors leading to goal,Clean sheets,Blocked shots,Interceptions,Clearances,Dribbled past,Errors leading to shot,Blocked shots.1,Aerial duels won %,Aerial duels won,Fouls,PC1,PC2,Cluster
52,Ben Cabango,1.64,0.02,0.27,0.69,1.07,7.0,24,5,31,58.43,156,25,3.880956044417412,0.5662172099502392,0
53,Tyler Bindon,1.32,0.0,0.12,0.72,1.4,6.96,8,1,18,63.04,87,21,1.7077883591375187,-0.8710536043798549,0
54,Ruairi McConville,1.12,0.0,0.28,0.76,0.96,5.88,8,2,19,65.81,77,11,1.0759082747577102,-1.0411340816640067,0
55,Alfie Jones,1.59,0.0,0.23,0.82,0.86,4.18,9,0,18,51.22,42,17,0.1168178871512708,0.00961885027192074,0
56,Jimmy Dunne,1.23,0.0,0.23,0.69,0.85,6.77,17,0,27,62.98,182,34,2.2954080837780517,-0.3445426597291376,0
57,Elias Jelert,0.75,0.0,0.13,0.38,0.5,0.75,3,1,3,28.57,2,2,-2.3896318352281893,0.22733513562084476,1
58,Zak Swanson,1.91,0.0,0.09,0.18,1.12,2.39,17,0,6,60.27,44,20,0.2113253757932009,1.7461047737637785,2
59,Conor Shaughnessy,0.68,0.0,0.32,0.74,0.84,5.53,1,1,14,77.91,67,6,0.143594200831368,-2.051581580733186,0
60,James Bree,1.32,0.0,0.27,0.22,0.61,2.05,14,0,9,54.55,60,41,0.016586691648819263,1.5541498631155615,2
61,Brandon Powell,1.0,0.0,0.0,1.0,0.0,0.0,2,0,1,0.0,0,3,-3.0665747236144885,0.2316644126941382,1
62,Milan van Ewijk,2.11,0.05,0.3,0.27,1.2,2.55,31,2,12,46.38,32,38,1.8964059037116887,3.3225348371091528,2
63,Phil Neumann,1.16,0.06,0.25,0.84,0.78,6.72,6,2,27,60.84,87,33,1.8148424790382713,-0.9125388039441681,0
64,Joel Latibeaudiere,0.6,0.0,0.4,0.93,0.73,5.27,3,0,14,46.34,38,9,-0.6543516332581907,-1.618166205733492,1
65,George Campbell,1.59,0.08,0.26,0.51,0.56,4.59,17,3,20,52.11,74,31,1.668262174941394,1.0615534488762677,2
66,Neto Borges,1.61,0.05,0.15,0.37,1.12,2.98,15,2,15,53.21,58,28,1.1835594899951523,1.3421998572199592,2
67,Kaine Kesler-Hayden,0.86,0.0,0.0,0.09,0.36,1.23,6,0,2,45.45,10,5,-2.4103732770967645,0.48973107828794776,1
68,José Córdoba,1.29,0.0,0.18,0.82,1.0,5.21,5,0,23,50.62,41,30,0.47023659741831675,-0.41657220881071416,0
69,Max Alleyne,1.69,0.0,0.19,0.38,0.81,4.75,8,0,6,57.69,30,4,-0.5506737599668214,0.07667901822639386,1
70,Liam Lindsay,0.81,0.0,0.04,0.81,1.54,7.46,6,0,21,66.86,113,34,2.0480820908978847,-1.527782169392053,0
71,Noah Eile,1.2,0.07,0.2,0.6,1.0,3.93,2,1,9,69.57,32,13,0.14868494831159107,-0.7692277426113695,0
72,George Tanner,2.21,0.03,0.21,0.67,0.79,4.61,25,1,22,54.9,56,12,1.241409291055057,1.454597769627927,2
73,Callum Brittain,1.59,0.0,0.2,0.2,1.14,2.57,26,0,9,54.35,50,39,0.9907588511948171,2.4335129696593496,2
74,Semi Ajayi,1.25,0.04,0.21,0.54,1.25,5.54,6,1,13,64.71,55,8,0.6392695400216342,-0.8076322868897751,0
75,Max Cleworth,1.78,0.02,0.22,0.63,0.85,4.93,16,1,26,60.23,106,27,1.6394044626794655,0.615128175015182,2
76,Jakov Medić,0.38,0.06,0.06,1.19,0.88,5.13,6,1,19,56.14,32,3,0.07602089474208135,-2.101175224715444,0
77,Amari'i Bell,1.0,0.06,0.26,0.68,1.0,3.68,11,2,23,61.11,44,20,0.8694937701963554,-0.13690860410964248,0
78,Femi Seriki,2.18,0.05,0.13,0.11,0.79,1.66,22,2,4,47.56,39,30,0.7881768283028227,2.97337457153717,2
79,Matthew Pollock,0.89,0.03,0.14,0.86,0.91,6.69,11,1,30,66.48,121,28,1.888226390722071,-1.1532677625797032,0
80,Ki-Jana Hoever,0.93,0.0,0.07,0.07,0.8,1.8,4,0,1,78.26,18,10,-1.3414357296353738,-0.04501887514583239,1
81,Jay DaSilva,1.69,0.07,0.29,0.21,1.02,1.88,24,3,9,39.71,27,26,1.0283664943562885,2.624370706093804,2
